Time [s], Internal Clock [ms], Altitude [m], Accel X [m/s^2], Accel Y [m/s^2], Accel Z [m/s^2], Jerk X [m/s^3], Jerk Y [m/s^3], Jerk Z [m/s^3]
1.000, 1000, 383.911, -0.023, 1.394, 10.095, 0.002, -0.006, 0.009
LED: GREEN
2.000, 2000, 383.569, -0.043, 1.385, 10.136, -0.020, -0.008, 0.041
LED: GREEN
3.000, 3000, 383.456, -0.053, 1.452, 10.043, -0.010, 0.066, -0.093
LED: GREEN
4.000, 4000, 383.321, 1.061, -5.571, 8.408, 1.110, -6.995, -1.628
LED: BLUE
5.000, 5000, 383.489, 1.750, -10.487, 1.256, 0.686, -4.896, -7.124
LED: GREEN
6.000, 6000, 383.178, -9.501, -2.265, 2.234, -11.206, 8.189, 0.975
LED: BLUE
7.000, 7000, 382.913, -8.880, 3.266, 3.672, 0.618, 5.508, 1.432
LED: GREEN
8.000, 8000, 382.602, 1.950, -0.636, 12.085, 10.798, -3.890, 8.387
LED: BLUE
9.000, 9000, 382.935, -0.251, -2.100, 6.835, -2.192, -1.458, -5.230
LED: GREEN
10.000, 10000, 382.627, -0.947, 2.020, 11.605, -0.694, 4.104, 4.752
LED: GREEN
11.000, 11000, 382.599, -5.606, -3.430, 5.709, -4.641, -5.428, -5.873
LED: GREEN
12.000, 12000, 382.251, 8.257, -5.623, -0.209, 13.808, -2.184, -5.894
LED: GREEN
13.000, 13000, 383.276, 9.498, -2.558, 7.752, 1.236, 3.052, 7.929
LED: GREEN
14.000, 14000, 383.476, 1.329, 7.228, 8.894, -8.136, 9.747, 1.137
LED: GREEN
15.000, 15000, 383.591, 0.025, -1.639, 11.897, -1.299, -8.832, 2.991
LED: GREEN
16.000, 16000, 383.433, 0.289, 0.319, 10.010, 0.263, 1.950, -1.879
LED: GREEN
17.000, 17000, 383.846, 0.036, 0.513, 10.168, -0.251, 0.193, 0.157
LED: GREEN
18.000, 18000, 383.604, 0.038, 0.520, 10.169, 0.002, 0.007, 0.001
LED: GREEN
