Time [s], Internal Clock [ms], Altitude [m], Accel X [m/s^2], Accel Y [m/s^2], Accel Z [m/s^2], Jerk X [m/s^3], Jerk Y [m/s^3], Jerk Z [m/s^3]
43.000, 43000, 387.250, 9.497, 5.177, 6.849, 17.463, 9.289, -1.993, LED: RED, THRESHOLD: 0.75
44.000, 44000, 387.236, 0.145, 0.583, -11.535, -9.352, -4.595, -18.384, LED: WHITE, THRESHOLD: 0.75
45.000, 45000, 386.901, 0.319, 10.435, 13.585, 0.174, 9.852, 25.120, LED: PURPLE, THRESHOLD: 1.00
46.000, 46000, 387.819, 1.705, -3.608, 3.607, 1.386, -14.043, -9.978, LED: YELLOW, THRESHOLD: 1.00
47.000, 47000, 387.078, 0.762, 6.356, 3.114, -0.943, 9.964, -0.494, LED: GREEN, THRESHOLD: 1.00
48.000, 48000, 387.632, -5.465, -1.436, -4.196, -6.227, -7.792, -7.309, LED: YELLOW, THRESHOLD: 1.00
49.000, 49000, 386.935, -4.565, 9.866, 8.958, 0.900, 11.302, 13.154, LED: PURPLE, THRESHOLD: 1.00
50.000, 50000, 387.675, -2.146, -3.007, -2.301, 2.419, -12.873, -11.259, LED: YELLOW, THRESHOLD: 1.00
51.000, 51000, 386.729, -2.690, 7.877, 14.310, -0.543, 10.884, 16.611, LED: PURPLE, THRESHOLD: 1.00
52.000, 52000, 387.518, -0.764, 1.679, -3.359, 1.926, -6.197, -17.669, LED: WHITE, THRESHOLD: 1.00
53.000, 53000, 386.971, -2.415, -4.198, -7.983, -1.651, -5.877, -4.624, LED: YELLOW, THRESHOLD: 1.00
54.000, 54000, 386.722, 9.330, 6.238, 12.634, 11.745, 10.436, 20.617, LED: PURPLE, THRESHOLD: 1.00
55.000, 55000, 387.069, -1.765, -1.483, 4.053, -11.095, -7.721, -8.580, LED: BLUE, THRESHOLD: 1.00
56.000, 56000, 386.707, -1.829, -1.300, -2.687, -0.064, 0.182, -6.741, LED: WHITE, THRESHOLD: 1.00
57.000, 57000, 386.180, -10.024, 11.927, 7.639, -8.195, 13.228, 10.326, LED: GREEN, THRESHOLD: 1.00
58.000, 58000, 386.159, -7.764, 5.533, 6.935, 2.261, -6.394, -0.704, LED: YELLOW, THRESHOLD: 1.00
59.000, 59000, 386.692, -0.391, -0.712, 1.892, 7.372, -6.245, -5.043, LED: RED, THRESHOLD: 1.00
60.000, 60000, 386.579, -15.435, 4.793, -13.155, -15.044, 5.505, -15.047, LED: WHITE, THRESHOLD: 1.25
61.000, 61000, 386.585, 4.342, 5.639, 14.014, 19.777, 0.846, 27.168, LED: PURPLE, THRESHOLD: 1.25
62.000, 62000, 387.077, -14.362, -0.928, 5.300, -18.703, -6.567, -8.714, LED: BLUE, THRESHOLD: 1.25
63.000, 63000, 387.127, 1.597, -6.720, 6.994, 15.959, -5.792, 1.695, LED: RED, THRESHOLD: 1.25
64.000, 64000, 386.997, 0.474, 4.679, 13.713, -1.123, 11.398, 6.718, LED: GREEN, THRESHOLD: 1.25
65.000, 65000, 387.344, -1.388, -3.457, 0.793, -1.862, -8.136, -12.920, LED: WHITE, THRESHOLD: 1.25
66.000, 66000, 386.599, 1.713, 9.282, 7.391, 3.101, 12.739, 6.599, LED: GREEN, THRESHOLD: 1.25
67.000, 67000, 387.268, -0.700, -3.473, -0.918, -2.413, -12.754, -8.310, LED: YELLOW, THRESHOLD: 1.25
68.000, 68000, 387.487, -0.081, -2.790, 7.842, 0.619, 0.683, 8.760, LED: PURPLE, THRESHOLD: 1.25
69.000, 69000, 386.714, -0.042, -0.424, 9.017, 0.039, 2.366, 1.175, LED: GREEN, THRESHOLD: 1.25
70.000, 70000, 386.912, -0.012, -0.163, 10.183, 0.030, 0.261, 1.166, LED: OFF, THRESHOLD: 1.25
71.000, 71000, 386.807, -0.017, -0.123, 10.186, -0.005, 0.039, 0.004, LED: OFF, THRESHOLD: 1.25
72.000, 72000, 387.141, 7.396, 3.306, -7.683, 7.413, 3.430, -17.869, LED: WHITE, THRESHOLD: 1.25
73.000, 73000, 387.169, -11.575, -0.422, 3.520, -18.971, -3.729, 11.203, LED: BLUE, THRESHOLD: 1.25
74.000, 74000, 386.684, -0.306, 7.672, 14.973, 11.269, 8.094, 11.453, LED: PURPLE, THRESHOLD: 1.25
75.000, 75000, 386.934, -5.217, -2.664, 5.854, -4.911, -10.336, -9.119, LED: YELLOW, THRESHOLD: 1.50
76.000, 76000, 387.231, 6.653, -3.153, 9.868, 11.870, -0.489, 4.014, LED: RED, THRESHOLD: 1.50
77.000, 77000, 387.309, 2.700, 3.163, 9.663, -3.953, 6.316, -0.205, LED: GREEN, THRESHOLD: 1.50
78.000, 78000, 387.309, -7.671, 5.159, -1.665, -10.371, 1.996, -11.328, LED: WHITE, THRESHOLD: 1.50
79.000, 79000, 387.544, -5.834, -2.100, 10.973, 1.837, -7.259, 12.638, LED: PURPLE, THRESHOLD: 1.50
80.000, 80000, 387.109, -6.120, 9.479, 6.763, -0.286, 11.579, -4.210, LED: GREEN, THRESHOLD: 1.50
81.000, 81000, 387.288, -9.350, 6.635, 0.376, -3.230, -2.844, -6.386, LED: WHITE, THRESHOLD: 1.50
82.000, 82000, 387.139, 8.272, 6.135, 13.153, 17.622, -0.500, 12.777, LED: RED, THRESHOLD: 1.50
83.000, 83000, 387.237, -16.764, 2.006, -4.484, -25.036, -4.129, -17.637, LED: BLUE, THRESHOLD: 1.50
